,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,
Subject: Transport,,,,,,,,,,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,,,,,,,,,,
"Table Title: Age Distribution Of Cars (End Of Period), Annual",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data last updated: 19/05/2025,,,,,,,,,,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Series,Total (Number),Total -> Below 1 (Number),Total -> 1 - Below 2 (Number),Total -> 2 - Below 3 (Number),Total -> 3 - Below 4 (Number),Total -> 4 - Below 5 (Number),Total -> 5 - Below 6 (Number),Total -> 6 - Below 7 (Number),Total -> 7 - Below 8 (Number),Total -> 8 - Below 9 (Number),Total -> 9 - Below 10 (Number),Total -> 10 - Below 11 (Number),Total -> 11 - Below 12 (Number),Total -> 12 - Below 13 (Number),Total -> 13 - Below 14 (Number),Total -> 14 - Below 15 (Number),Total -> 15 & Above (Number)
  2024,657744,42438,29488,30148,45082,44277,72193,79989,89746,81656,42412,8558,4433,6176,10960,18674,51514
  2023,651302,29488,30200,45062,44292,72229,80016,89885,82387,47677,18385,4475,6196,10986,20024,36384,33616
  2022,650667,30168,45007,44242,72246,80028,89922,82466,47944,20009,10969,6196,10992,20058,37594,34474,18352
  2021,645150,44985,44185,72184,80042,90022,82549,48223,20536,12697,13290,10991,20077,37690,36474,19621,11584
  2020,634042,44162,72118,80005,90164,82785,49421,21867,14458,17353,18677,20035,37791,37031,23391,18180,6604
  2019,630596,72090,80002,90980,84164,52307,23794,16571,20572,22952,33902,37792,37464,25150,22224,4728,5904
  2018,615452,79961,91204,85124,55790,26621,18912,23938,25854,39859,62955,37753,27376,25799,6677,1121,6508
  2017,612256,91614,87142,57335,28392,21269,26551,27412,41142,68076,88583,28487,28439,8728,1557,458,7071
  2016,601257,87157,57370,28523,21759,27144,27635,41318,68362,96263,97596,28820,9378,1749,554,305,7324
  2015,602311,57387,28540,21932,27267,27701,41372,68437,96602,104943,107529,9561,1817,592,345,526,7760
  2014,616609,28547,21943,27288,27727,41402,68460,96674,105216,113962,73764,1840,614,357,567,533,7715
  2013,621345,21952,27299,27747,41420,68488,96742,105403,114665,84212,23039,628,362,582,556,493,7757
  2012,617570,27297,27759,41439,68512,96822,105599,115056,86307,29983,8089,368,585,558,500,559,8137
  2011,603723,27748,41426,68512,96877,105783,115335,87554,34178,11710,3376,588,558,501,575,464,8538
  2010,595185,41407,68503,96887,105917,115583,88437,37564,14014,4713,3790,558,501,581,475,1082,15173
  2009,576988,68464,96927,106281,116043,93610,44002,17511,5936,5465,1574,505,586,488,1096,577,17923
  2008,550455,96945,106440,116471,102520,60442,23981,8570,7668,2474,1131,594,498,1113,604,649,20355
  2007,514685,106502,116656,108606,81376,42069,12678,10607,3638,2024,2288,502,1125,621,698,3223,22072
  2006,472308,116741,109075,93240,63124,26056,15655,5823,3398,4456,1174,1131,634,746,3617,10967,16471
  2005,438194,109165,96518,78754,46496,34396,10562,6644,8462,2284,3250,644,787,4003,12431,11822,11976
  2004,417103,96670,81164,60289,56374,27860,13038,15284,4311,6970,4538,811,4165,12979,13490,4395,14765
  2003,405328,81244,62827,66234,47358,27250,22390,8327,12810,10545,6747,4207,13164,14236,6678,6834,14477
  2002,404274,62935,67066,57110,36747,26719,13305,20309,18122,15608,21537,13222,14418,7913,8230,2411,18622
  2001,405354,67134,58000,38210,27614,19420,25157,25574,23843,34102,24297,14480,8238,8521,2556,2135,26073
  2000,392961,58097,38441,27856,24160,28211,29790,29543,38186,28030,25588,8378,8675,2634,2287,2151,40934
  1999,382941,38474,27883,24844,28569,31136,31031,38988,28570,27796,26914,8653,2644,2307,2213,2097,60822
  1998,375217,27898,24976,28683,31984,32575,39294,29100,28003,30771,29976,2638,2324,2232,2218,4637,57908
  1997,377365,25064,28774,32594,33682,39518,29390,28623,31110,34214,23253,2343,2245,2263,4924,8060,51308
  1996,365558,28785,32672,33859,39558,29471,28695,31734,34432,25509,11049,2256,2276,4976,8283,11460,40543
  1995,345432,32701,33975,39591,29531,28722,31874,35317,25637,12392,7345,2289,5017,8375,11545,6910,34211
  1994,324026,34044,39616,29548,28740,31902,35466,26399,12442,8589,10691,5047,8439,11608,6956,10508,24031
  1993,306216,39621,29553,28747,31920,35494,26522,12787,8625,13482,17589,8467,11642,6993,10532,8716,15526
  1992,287612,29554,28718,31919,35511,26548,12852,8749,13561,21924,24561,11672,7009,10557,8732,5451,10294
  1991,285298,28706,31904,35451,26507,12740,8358,13524,22009,29557,24117,8344,11750,9897,6196,4256,11982
  1990,272475,31905,35427,26475,12661,8221,13516,22107,29784,29451,16004,12187,10337,6449,4445,1617,11889
  1989,258537,35423,26460,12621,8193,13514,22223,30370,30156,21644,21742,10604,6618,4570,1698,1771,10930
  1988,238984,26454,12607,8156,13457,22218,30742,31216,22669,28786,16551,6703,4639,1749,1842,2647,8548
  1987,223456,12609,8161,13422,22220,30974,31649,23023,29705,21399,10395,4714,1792,1907,2718,3228,5540
  1986,221945,8162,13457,22224,31022,31756,23683,30276,21694,15150,8359,1859,2047,2909,3413,1944,3990
,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,
"Data refer to private cars, company cars and private hire cars only.  They exclude taxis and tax exempted cars.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,
Date generated: 26/02/2026,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,
