bidding,date,year,quota,quota_premium,total_bids_received,number_of_successful_bids,quota_cat_b,quota_premium_cat_b,total_bids_received_cat_b,quota_per_bid,regis_cat_a,regis_cat_b,total_cars_cat_a,total_cars_cat_b,car_age_younger_than_10,car_age_older_than_10,pqp_cat_a,pqp_cat_b,cpi_all,cpi_transport,cpi_private_transport,cpi_cars,cpi_transport_accessories,cpi_petrol,cpi_lubricants,cpi_maintenance,cpi_transport_others,cpi_transport_insurance,cpi_land_transport,cpi_bus_train_fare,cpi_ptp_transport_services,cpi_commuting_fares,cpi_other_land_transport_services,sora_1m,sti_close,catA_is_cc_only_1600,catA_is_cc_mpo_97,catA_is_cc_mpo_97_or_ev110,vgr_annual_percent,car_loan_tenure_cap_years,car_loan_ltv_cap_omv_le_20000,car_loan_ltv_cap_omv_gt_20000,tdsr_threshold,arf_is_flat_100pct,arf_is_tiered_100_140_180,arf_is_plus_220_over_80k,arf_is_revised_2023_plus_320_over_80k,parf_rebate_cap,ves_active,eeai_active,eeai_arf_rebate_cap,ev_arf_floor_zero_active
January 2026 Second Open Bidding Exercise,2026-01-21,2026,1301.0,109501.0,2303.0,1277.0,803.0,121634.0,1207.0,1277.0,,,,,,,107571,120772,,,,,,,,,,,,,,,,1.1241,4809.8798828125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,7500.0,1.0
January 2026 First Open Bidding Exercise,2026-01-07,2026,1285.0,102009.0,1658.0,1284.0,824.0,119100.0,1128.0,1277.0,,,,,,,107571,120772,,,,,,,,,,,,,,,,1.1756,4747.6201171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,7500.0,1.0
December 2025 Second Open Bidding Exercise,2025-12-17,2025,1283.0,109501.0,1647.0,1259.0,838.0,115102.0,968.0,1277.0,3418,2915,322377,337060,,,114004,126131,101.9,104.4,103.5,106.8,101.9,98.1,100.4,105.9,100.4,104.4,107,106.7,107.7,104.1,105.6,1.1886,4575.47998046875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
December 2025 First Open Bidding Exercise,2025-12-03,2025,1280.0,105413.0,1557.0,1272.0,802.0,123900.0,1096.0,1277.0,3418,2915,322377,337060,,,114004,126131,101.9,104.4,103.5,106.8,101.9,98.1,100.4,105.9,100.4,104.4,107,106.7,107.7,104.1,105.6,1.1212,4554.52001953125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
November 2025 Second Open Bidding Exercise,2025-11-19,2025,1285.0,109000.0,1587.0,1279.0,806.0,129890.0,1514.0,1277.0,2425,1938,321636,336172,,,116000,130362,101.6,103.4,103.8,106.8,102.7,98.3,100.2,105.9,101.1,108.4,106,105.9,106.5,104.1,100.8,1.1059,4505.22021484375,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
November 2025 First Open Bidding Exercise,2025-11-05,2025,1306.0,110002.0,1682.0,1303.0,800.0,115001.0,953.0,1277.0,2425,1938,321636,336172,,,116000,130362,101.6,103.4,103.8,106.8,102.7,98.3,100.2,105.9,101.1,108.4,106,105.9,106.5,104.1,100.8,1.2360,4417.1201171875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
October 2025 Second Open Bidding Exercise,2025-10-23,2025,1270.0,122000.0,1968.0,1262.0,809.0,131889.0,977.0,1264.0,2110,1830,321522,336111,,,113922,130863,101.3,104.8,105.8,111.3,102.7,96.8,98.8,105.7,101,104,105.4,105.9,105.1,104.1,102.7,1.2784,4416.27001953125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
October 2025 First Open Bidding Exercise,2025-10-08,2025,1268.0,128105.0,2572.0,1239.0,830.0,141000.0,1202.0,1264.0,2110,1830,321522,336111,,,113922,130863,101.3,104.8,105.8,111.3,102.7,96.8,98.8,105.7,101,104,105.4,105.9,105.1,104.1,102.7,1.3206,4456.2998046875,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
September 2025 Second Open Bidding Exercise,2025-09-17,2025,1272.0,119003.0,2521.0,1266.0,792.0,136890.0,1273.0,1264.0,2522,2145,322084,336292,,,105939,125165,101.3,103.7,104.5,108.5,102.5,97.6,99.3,105.7,101.2,103.1,105.9,105.9,106.4,104.1,97.2,1.3057,4323.77978515625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
September 2025 First Open Bidding Exercise,2025-09-03,2025,1275.0,107889.0,1844.0,1271.0,790.0,127501.0,1186.0,1264.0,2522,2145,322084,336292,,,105939,125165,101.3,103.7,104.5,108.5,102.5,97.6,99.3,105.7,101.2,103.1,105.9,105.9,106.4,104.1,97.2,1.3144,4289.330078125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
August 2025 Second Open Bidding Exercise,2025-08-20,2025,1264.0,104524.0,1922.0,1257.0,792.0,124400.0,1221.0,1264.0,2757,1872,322505,336121,,,100644,119379,101,102.1,102.4,104.8,102.5,97.2,98.9,105.7,100.9,103.1,104.8,105.9,103.7,104.1,97.2,1.5773,4219.5400390625,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
August 2025 First Open Bidding Exercise,2025-08-06,2025,1268.0,102009.0,1755.0,1257.0,789.0,123498.0,1271.0,1264.0,2757,1872,322505,336121,,,100644,119379,101,102.1,102.4,104.8,102.5,97.2,98.9,105.7,100.9,103.1,104.8,105.9,103.7,104.1,97.2,1.6320,4227.7001953125,0.0,0.0,1.0,0.0,7.0,0.7,0.6,0.55,0.0,0.0,0.0,1.0,60000.0,1.0,1.0,15000.0,1.0
