,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,
Subject: Consumer Price Index,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI),,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI), 2024 As Base Year, Monthly",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 23/02/2026,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Series,All Items (Index),All Items -> Transport (Index),All Items -> Transport -> Private Transport (Index),All Items -> Transport -> Private Transport -> Motor Cars (Index),All Items -> Transport -> Private Transport -> Parts & Accessories For Personal Transport Equipment (Index),All Items -> Transport -> Private Transport -> Petrol (Index),All Items -> Transport -> Private Transport -> Other Fuel & Lubricants For Personal Transport Equipment (Index),All Items -> Transport -> Private Transport -> Maintenance & Repair Of Personal Transport Equipment (Index),All Items -> Transport -> Private Transport -> Other Services In Respect Of Personal Transport Equipment (Index),All Items -> Transport -> Private Transport -> Insurance Connected With Transport (Index),All Items -> Transport -> Land Transport Services (Index),All Items -> Transport -> Land Transport Services -> Bus & Train Fares (Index),All Items -> Transport -> Land Transport Services -> Point-To-Point Transport Services (Index),All Items -> Transport -> Land Transport Services -> Commuting Fares (Index),All Items -> Transport -> Land Transport Services -> Other Land Transport Services (Index)
  2025 Dec,101.9,104.4,103.5,106.8,101.9,98.1,100.4,105.9,100.4,104.4,107,106.7,107.7,104.1,105.6
  2025 Nov,101.6,103.4,103.8,106.8,102.7,98.3,100.2,105.9,101.1,108.4,106,105.9,106.5,104.1,100.8
  2025 Oct,101.3,104.8,105.8,111.3,102.7,96.8,98.8,105.7,101,104,105.4,105.9,105.1,104.1,102.7
  2025 Sep,101.3,103.7,104.5,108.5,102.5,97.6,99.3,105.7,101.2,103.1,105.9,105.9,106.4,104.1,97.2
  2025 Aug,101,102.1,102.4,104.8,102.5,97.2,98.9,105.7,100.9,103.1,104.8,105.9,103.7,104.1,97.2
  2025 Jul,100.4,101.8,102.4,103.7,102.3,99.5,99.6,105.7,100.7,103.1,103.7,105.9,101.3,104.1,94.3
  2025 Jun,100.9,101.6,101.5,102.3,102.6,99.4,98.9,104.1,100.3,105.9,104.5,105.9,103.2,104.1,94.9
  2025 May,101,101.8,101.7,103.5,102.5,97.8,98.6,104.1,100.3,103.3,104.9,105.9,104.2,104.1,95.7
  2025 Apr,100.3,101.9,101.7,102.8,102.3,98.8,99.8,104,100.5,103.3,104.4,105.9,102.9,104.1,96.5
  2025 Mar,100.6,101.2,100.7,101.4,101.8,97.7,99.8,103.7,100.6,104.4,105.4,105.9,105.3,104.1,96.8
  2025 Feb,100.7,101.5,100.7,100,101.3,101.5,101.5,103.5,100.9,103.2,105.3,105.9,104.5,104.1,105.7
  2025 Jan,99.9,102.3,101.5,102.4,100.6,100.3,100.4,104,100.1,103.2,103.8,105.9,101.3,104.1,100.5
  2024 Dec,100.7,100.8,99.8,99.7,100.2,99.3,98.8,103.5,99.9,103.2,101.3,100.7,102.3,100,99.4
  2024 Nov,100.4,100.2,100.3,99.9,100.3,100.4,99.2,103.5,100.3,103.2,100.3,99.9,100.8,100,99.5
  2024 Oct,100.1,101.4,101.9,102.8,100.1,100.6,99.5,103.5,100.3,103.2,101.6,99.9,104,100,99.8
  2024 Sep,100.6,100.3,100.7,101.1,100.3,99,99.1,103.5,100.5,99.7,100.5,99.9,101.2,100,100.2
  2024 Aug,100.4,99.7,100,100.2,100.4,98.2,99.3,103.5,100.1,99.7,99.3,99.9,98.2,100,101.2
  2024 Jul,99.8,99.7,100.2,99.5,99.8,101.3,101.1,103.5,100.3,99.7,98.9,99.9,97.6,100,97.9
  2024 Jun,100.1,99.6,99.5,99.7,100.3,99.8,99.8,97.5,99.5,99,99.4,99.9,98.7,100,99.2
  2024 May,100.2,100.1,100.6,101.2,99.8,101.5,101.3,96.3,99.6,99,99.2,99.9,98.3,100,98.2
  2024 Apr,99.4,100.1,100.3,100,99.9,102.5,101.5,96.3,100,99,99.5,99.9,98.8,100,99.1
  2024 Mar,99.7,99.4,98.7,98,100.3,99.7,100.6,96.3,99.9,98.1,101.1,99.9,102.9,100,100.1
  2024 Feb,99.8,99.6,99.1,98.8,99.1,100,100.9,96.5,99.9,98.1,99.9,99.9,99.3,100,108.3
  2024 Jan,98.8,99.2,98.8,99.1,99.3,97.7,99,96.3,99.8,98.1,99,99.9,97.8,100,97.2
  2023 Dec,99.2,100.5,100.7,102.2,na,97.3,99.2,na,na,na,95.4,95.3,95.3,94.5,na
  2023 Nov,98.8,100,101.3,102.5,na,99,101.5,na,na,na,93,93.4,91.8,94.5,na
  2023 Oct,99,103.2,105.6,108.4,na,100.6,103.2,na,na,na,93.6,93.4,93.6,94.5,na
  2023 Sep,98.8,101.9,104,105.7,na,101.9,102.2,na,na,na,93.4,93.4,93.2,94.5,na
  2023 Aug,98.3,100.1,101.6,102.8,na,99.4,97.5,na,na,na,93,93.4,92.3,94.5,na
  2023 Jul,97.4,98.2,99,99.8,na,96.1,91.7,na,na,na,92.9,93.4,91.8,94.5,na
  2023 Jun,97.6,99,99.9,101.4,na,95.4,91,na,na,na,93.1,93.4,92,94.5,na
  2023 May,97.2,97.4,98,98.9,na,94.8,90.9,na,na,na,92.9,93.4,91.8,94.5,na
  2023 Apr,96.9,99.3,100.2,101.4,na,96.2,95.1,na,na,na,93.1,93.4,92,94.5,na
  2023 Mar,96.8,97.7,98.2,98.8,na,95.3,97.5,na,na,na,94,93.4,94.5,94.5,na
  2023 Feb,96.3,96.5,96.5,96.2,na,95.5,99.8,na,na,na,94.7,93.4,96.1,94.5,na
  2023 Jan,95.8,96.1,95,94.5,na,94.3,100.8,na,na,na,94.5,93.4,94.8,94.5,na
  2022 Dec,95.6,96.7,96,96.3,na,93.8,100.6,na,na,na,93.1,91.3,95.2,90.7,na
  2022 Nov,95.4,97.2,97.3,97.5,na,96.8,105.3,na,na,na,92.3,90.8,94.1,90.7,na
  2022 Oct,94.5,95.2,94.6,93.7,na,96.4,104.9,na,na,na,92.4,90.8,94.3,90.7,na
  2022 Sep,94.9,95.9,95.8,95.4,na,98,105.6,na,na,na,92,90.8,93.6,90.1,na
  2022 Aug,94.4,95.5,95.5,94.7,na,99.4,106.6,na,na,na,91.3,90.8,91.6,90.1,na
  2022 Jul,93.6,94.7,94.5,92.6,na,106.5,111.5,na,na,na,91.1,90.8,91.2,90.1,na
  2022 Jun,93.4,94.7,94.4,90.8,na,115.5,115.7,na,na,na,91.8,90.8,92.7,90.1,na
  2022 May,92.5,91.9,91.3,87.7,na,109.5,111.1,na,na,na,91,90.8,90.9,90.1,na
  2022 Apr,91.6,91.4,90.7,87.8,na,104.3,104.8,na,na,na,89.2,90.8,87.3,90.1,na
  2022 Mar,91.7,92,90.4,87.3,na,104.4,102.7,na,na,na,88.7,90.8,86.2,90.1,na
  2022 Feb,90.6,88,86,82.9,na,95.7,89.2,na,na,na,87.3,90.8,82.9,90.1,na
  2022 Jan,89.8,85.9,83.1,79.6,na,91.8,84.8,na,na,na,87.5,90.8,83.5,90.1,na
  2021 Dec,89.8,85.8,83.1,80.1,na,90,82.6,na,na,na,85.6,89.2,80.9,89.2,na
  2021 Nov,89.4,84.7,83,79.7,na,91,83.8,na,na,na,84.5,88.9,78.7,89.2,na
  2021 Oct,88.5,82.5,80.6,76.6,na,89.5,82.1,na,na,na,84.9,88.9,79.9,89.2,na
  2021 Sep,88.2,80.6,78.3,73.7,na,87.7,79.9,na,na,na,84.8,88.9,79.5,89.2,na
  2021 Aug,87.9,79.5,77,71.6,na,87.6,79.7,na,na,na,84.7,88.9,79.3,89.2,na
  2021 Jul,87.4,79.6,77.3,71.6,na,87.5,79.7,na,na,na,84.2,88.9,78.1,89.2,na
  2021 Jun,87.6,79.7,77.4,72.2,na,85.1,77.2,na,na,na,83.7,88.9,77,89.2,na
  2021 May,87.6,79.6,77.1,71.8,na,84.2,76.2,na,na,na,85,88.9,80,89.2,na
  2021 Apr,86.9,79.2,76.7,71.4,na,83,74.9,na,na,na,84.6,88.9,79.2,89.2,na
  2021 Mar,87,77.5,74.4,68.2,na,82.8,75.5,na,na,na,85,88.9,80,89.2,na
  2021 Feb,86.8,76.7,73.4,67.9,na,78,73.4,na,na,na,84.2,88.9,78.3,89.2,na
  2021 Jan,86.3,76.2,72.9,68.2,na,73.5,70.7,na,na,na,84.2,88.9,78.1,89.2,na
  2020 Dec,86.4,75.4,72,67.3,na,71.6,69.2,na,na,na,83.5,88.9,76.6,89.5,na
  2020 Nov,86,74.2,70.4,65.2,na,70.2,67.9,na,na,na,83.3,88.9,76.1,89.5,na
  2020 Oct,85.7,74.3,70.6,65.5,na,70.1,68,na,na,na,83.2,88.9,75.8,89.5,na
  2020 Sep,86.1,74.4,70.7,65.8,na,69.9,68.2,na,na,na,83.2,88.9,75.8,89.5,na
  2020 Aug,85.8,73.4,69.4,64,na,69.7,67.9,na,na,na,82.9,88.9,75.3,89.5,na
  2020 Jul,85.2,72.7,68.6,62.9,na,69.7,67.8,na,na,na,82.4,88.9,74,89.5,na
  2020 Jun,85.5,71.7,67.4,61.5,na,69.4,66.9,na,na,na,82.2,88.9,73.5,89.5,na
  2020 May,85.5,71.7,67.3,61.5,na,69.5,65.4,na,na,na,82.4,88.9,74.1,89.5,na
  2020 Apr,85.1,72.2,67.9,61.6,na,72.1,67.9,na,na,na,82.8,88.9,74.9,89.5,na
  2020 Mar,85.9,73.4,69.4,62,na,74.9,71.2,na,na,na,83.2,88.9,75.7,90.3,na
  2020 Feb,86.2,74.4,70.5,62.4,na,78.8,75.5,na,na,na,84.3,88.9,78.2,90.3,na
  2020 Jan,86.1,75.7,71.6,63.8,na,80.4,76.4,na,na,na,84.2,88.9,77.1,90.3,na
  2019 Dec,86.3,75,71.2,63.4,na,80.5,76,na,na,na,81.5,83.8,77.4,89.8,na
  2019 Nov,86.2,74.5,71.3,63.6,na,79.4,74.8,na,na,na,80.7,83,76.3,89.8,na
  2019 Oct,85.9,74.7,71.5,64,na,78.8,74.3,na,na,na,80.5,83,76,89.8,na
  2019 Sep,86.1,74,70.8,63.1,na,78.2,74,na,na,na,80.4,83,75.9,89.8,na
  2019 Aug,86.1,74.5,71.1,63.7,na,77.5,73.2,na,na,na,80.2,83,75.3,89.8,na
  2019 Jul,85.6,73.7,70.1,62.3,na,77.5,73.5,na,na,na,80.4,83,75.8,89.8,na
  2019 Jun,86,74,70.5,62.9,na,77.8,73.7,na,na,na,80.2,83,75.4,89.8,na
  2019 May,86.2,75.3,72.2,65,na,79.5,75.3,na,na,na,80.5,83,76.1,89.8,na
  2019 Apr,85.7,75.1,71.9,64.7,na,78.6,74.6,na,na,na,80.6,83,76.2,89.8,na
  2019 Mar,85.9,73.3,69.6,61.7,na,76.7,72.7,na,na,na,81.2,83,77.7,89.8,na
  2019 Feb,85.9,73.1,68.8,61,na,75.3,69.8,na,na,na,80.8,83,76.5,89.8,na
  2019 Jan,85.4,72.7,68.4,60.4,na,75.1,68.8,na,na,na,80.8,83,77,89.8,na
  2018 Dec,85.7,72.8,68.9,60.9,na,75.8,70.7,na,na,na,78.9,79.9,76.3,89.4,na
  2018 Nov,85.6,72.9,69.5,61,na,78.6,72.3,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Oct,85.5,73.5,70.4,61,na,81.5,73.7,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Sep,85.7,73.4,70.3,61.5,na,80,72.4,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Aug,85.7,73.6,70.4,62.3,na,78.7,71.4,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Jul,85.4,73.3,70.2,61.6,na,78.4,70.5,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Jun,85.5,73.7,70.4,62.4,na,78.3,70.4,na,na,na,78.7,79.5,76.3,89.4,na
  2018 May,85.5,73.9,70.9,63.2,na,78,70.2,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Apr,84.9,73.8,70.7,63.2,na,76.7,69.3,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Mar,85.3,73.7,70.5,63.4,na,75.8,68.7,na,na,na,78.7,79.5,76.3,89.4,na
  2018 Feb,85.5,74.2,70.8,64,na,76.1,69,na,na,na,78.8,79.5,76.3,89.4,na
  2018 Jan,85.1,74.3,71.5,65.1,na,76.2,68.9,na,na,na,78.7,79.5,76.3,89.4,na
  2017 Dec,85.3,74.7,71.5,66.1,na,75.1,67.8,na,na,na,79.5,81.2,76.3,88.3,na
  2017 Nov,85.4,74.9,72.1,67,na,75.7,67.9,na,na,na,79.5,81.3,76.3,88.3,na
