,,
Theme: Industry,,
Subject: Transport,,
Topic: Land Transport (including MRT and LRT),,
"Table Title: Motor Vehicles De-Registered Under Vehicle Quota System, Monthly",,
,,
Data last updated: 27/02/2026,,
Source: LAND TRANSPORT AUTHORITY,,
,,
Data Series,Total Motor Vehicles De-Registered (Number),Total Motor Vehicles De-Registered -> Category A: Cars (Number)
  2025 Dec,6860,2677
  2025 Nov,5745,2311
  2025 Oct,6315,2672
  2025 Sep,6608,2263
  2025 Aug,6669,2891
  2025 Jul,5777,2191
  2025 Jun,5935,2288
  2025 May,5628,2112
  2025 Apr,5498,1964
  2025 Mar,5925,2070
  2025 Feb,4710,1704
  2025 Jan,5078,2072
  2024 Dec,4878,1973
  2024 Nov,4057,1421
  2024 Oct,5149,1906
  2024 Sep,4761,1887
  2024 Aug,4624,1776
  2024 Jul,4228,1221
  2024 Jun,3212,1059
  2024 May,4156,1757
  2024 Apr,4914,2506
  2024 Mar,5596,2420
  2024 Feb,4428,1672
  2024 Jan,4863,1918
  2023 Dec,4445,1939
  2023 Nov,4000,1654
  2023 Oct,4169,1542
  2023 Sep,4125,1510
  2023 Aug,4285,1485
  2023 Jul,4097,1310
  2023 Jun,3874,1253
  2023 May,4495,1735
  2023 Apr,3897,1461
  2023 Mar,6010,1369
  2023 Feb,3522,848
  2023 Jan,2976,808
  2022 Dec,3472,857
  2022 Nov,4341,1424
  2022 Oct,3440,1028
  2022 Sep,3702,1010
  2022 Aug,3663,961
  2022 Jul,3562,953
  2022 Jun,3899,1089
  2022 May,3501,955
  2022 Apr,4131,1128
  2022 Mar,5618,1641
  2022 Feb,3834,1042
  2022 Jan,4412,1383
  2021 Dec,4165,1097
  2021 Nov,4218,1198
  2021 Oct,4119,1243
  2021 Sep,3920,1039
  2021 Aug,4266,1256
  2021 Jul,4125,1249
  2021 Jun,5344,1864
  2021 May,5457,1872
  2021 Apr,4926,1607
  2021 Mar,6055,1918
  2021 Feb,4315,1268
  2021 Jan,4706,1383
  2020 Dec,5021,1425
  2020 Nov,4972,1506
  2020 Oct,5027,1518
  2020 Sep,5264,1537
  2020 Aug,5617,1750
  2020 Jul,5379,1697
  2020 Jun,5095,1756
  2020 May,3762,1184
  2020 Apr,4976,1707
  2020 Mar,7976,2397
  2020 Feb,6240,1778
  2020 Jan,6749,2239
  2019 Dec,7169,2145
  2019 Nov,7043,2143
  2019 Oct,7077,2192
  2019 Sep,6794,2146
  2019 Aug,6944,2176
  2019 Jul,8332,2450
  2019 Jun,6931,2001
  2019 May,7847,2316
  2019 Apr,8636,2724
  2019 Mar,10429,3477
  2019 Feb,7168,2570
  2019 Jan,9320,3438
  2018 Dec,9344,3465
  2018 Nov,9601,3872
  2018 Oct,9726,3656
  2018 Sep,9174,3886
  2018 Aug,9543,4001
  2018 Jul,10396,4213
  2018 Jun,9585,3823
  2018 May,9874,3653
  2018 Apr,9238,3604
  2018 Mar,9557,3310
  2018 Feb,6763,2458
  2018 Jan,9331,3778
  2017 Dec,9446,3440
  2017 Nov,9035,3371
  2017 Oct,9411,3554
  2017 Sep,9178,3495
  2017 Aug,9891,3720
  2017 Jul,9843,3762
  2017 Jun,9261,3886
  2017 May,9503,4074
  2017 Apr,9768,3914
  2017 Mar,16091,4428
  2017 Feb,8869,3588
  2017 Jan,10080,4389
  2016 Dec,9720,4513
  2016 Nov,9835,4463
  2016 Oct,9440,4475
  2016 Sep,9367,3798
  2016 Aug,9295,4027
  2016 Jul,9534,4244
  2016 Jun,9334,4064
  2016 May,9759,4493
  2016 Apr,11146,4575
  2016 Mar,13580,5937
  2016 Feb,8679,4105
  2016 Jan,9918,4497
  2015 Dec,10032,4580
  2015 Nov,9503,4216
  2015 Oct,9892,4496
  2015 Sep,9103,3756
  2015 Aug,8358,3252
  2015 Jul,7976,3798
  2015 Jun,7931,3761
  2015 May,7689,3627
  2015 Apr,8207,3618
  2015 Mar,9448,4030
  2015 Feb,5337,2142
  2015 Jan,7383,3174
  2014 Dec,5767,2263
  2014 Nov,5379,2068
  2014 Oct,5488,2080
  2014 Sep,5142,1875
  2014 Aug,4892,1415
  2014 Jul,4834,1507
  2014 Jun,4133,1291
  2014 May,3876,1271
  2014 Apr,4858,1347
  2014 Mar,5805,1330
  2014 Feb,3917,1104
  2014 Jan,3630,1011
  2013 Dec,3307,804
  2013 Nov,3372,759
  2013 Oct,3388,798
  2013 Sep,2828,719
  2013 Aug,2975,643
  2013 Jul,3512,722
  2013 Jun,3688,713
  2013 May,3689,971
  2013 Apr,4156,1033
  2013 Mar,3781,864
  2013 Feb,2922,601
  2013 Jan,3883,702
  2012 Dec,3153,600
  2012 Nov,3071,546
  2012 Oct,3210,569
  2012 Sep,2968,479
  2012 Aug,3001,531
  2012 Jul,2966,571
  2012 Jun,2522,513
  2012 May,2756,591
  2012 Apr,2963,578
  2012 Mar,2910,604
  2012 Feb,2502,542
  2012 Jan,2327,438
  2011 Dec,2331,423
  2011 Nov,2325,480
  2011 Oct,1964,445
  2011 Sep,2071,363
  2011 Aug,5503,3780
  2011 Jul,3310,1386
  2011 Jun,3274,1261
  2011 May,3666,1427
  2011 Apr,2920,966
  2011 Mar,4117,1047
  2011 Feb,2576,561
