Time,Certificate of Entitlement,sgcarmart
1/1/04,22,0
1/2/04,20,0
1/3/04,0,0
1/4/04,0,0
1/5/04,0,0
1/6/04,0,0
1/7/04,0,0
1/8/04,13,0
1/9/04,14,0
1/10/04,19,0
1/11/04,20,0
1/12/04,15,0
1/1/05,31,0
1/2/05,14,0
1/3/05,17,0
1/4/05,15,0
1/5/05,14,4
1/6/05,16,0
1/7/05,16,0
1/8/05,11,5
1/9/05,13,4
1/10/05,21,7
1/11/05,10,3
1/12/05,11,5
1/1/06,20,8
1/2/06,20,5
1/3/06,15,7
1/4/06,10,7
1/5/06,14,7
1/6/06,17,8
1/7/06,11,8
1/8/06,11,11
1/9/06,13,12
1/10/06,11,11
1/11/06,12,13
1/12/06,10,12
1/1/07,13,13
1/2/07,18,13
1/3/07,22,16
1/4/07,11,13
1/5/07,18,16
1/6/07,10,19
1/7/07,14,16
1/8/07,17,20
1/9/07,16,17
1/10/07,13,16
1/11/07,9,16
1/12/07,13,21
1/1/08,15,20
1/2/08,13,19
1/3/08,10,18
1/4/08,8,22
1/5/08,14,22
1/6/08,8,20
1/7/08,9,24
1/8/08,8,20
1/9/08,11,25
1/10/08,13,25
1/11/08,32,29
1/12/08,20,33
1/1/09,19,34
1/2/09,22,36
1/3/09,15,35
1/4/09,17,36
1/5/09,12,37
1/6/09,14,35
1/7/09,15,41
1/8/09,11,36
1/9/09,11,36
1/10/09,11,38
1/11/09,9,33
1/12/09,13,35
1/1/10,14,41
1/2/10,14,43
1/3/10,22,50
1/4/10,28,50
1/5/10,17,45
1/6/10,13,41
1/7/10,15,49
1/8/10,12,47
1/9/10,13,52
1/10/10,11,52
1/11/10,13,55
1/12/10,31,59
1/1/11,25,62
1/2/11,27,76
1/3/11,21,64
1/4/11,17,62
1/5/11,15,59
1/6/11,18,65
1/7/11,20,66
1/8/11,19,65
1/9/11,17,71
1/10/11,18,68
1/11/11,17,69
1/12/11,15,69
1/1/12,20,72
1/2/12,21,76
1/3/12,18,73
1/4/12,24,79
1/5/12,24,68
1/6/12,18,70
1/7/12,20,78
1/8/12,23,74
1/9/12,17,76
1/10/12,15,75
1/11/12,19,70
1/12/12,17,82
1/1/13,23,82
1/2/13,25,76
1/3/13,84,82
1/4/13,32,100
1/5/13,20,79
1/6/13,18,61
1/7/13,17,63
1/8/13,16,64
1/9/13,23,60
1/10/13,19,59
1/11/13,18,54
1/12/13,14,54
1/1/14,21,62
1/2/14,25,63
1/3/14,20,63
1/4/14,31,70
1/5/14,36,74
1/6/14,24,64
1/7/14,29,66
1/8/14,19,70
1/9/14,18,63
1/10/14,23,66
1/11/14,18,64
1/12/14,18,63
1/1/15,26,84
1/2/15,33,74
1/3/15,34,73
1/4/15,38,72
1/5/15,30,76
1/6/15,30,70
1/7/15,48,76
1/8/15,41,69
1/9/15,33,55
1/10/15,30,67
1/11/15,26,61
1/12/15,28,68
1/1/16,57,70
1/2/16,79,71
1/3/16,54,64
1/4/16,46,59
1/5/16,40,59
1/6/16,46,57
1/7/16,35,53
1/8/16,25,53
1/9/16,28,47
1/10/16,27,44
1/11/16,39,42
1/12/16,48,44
1/1/17,42,41
1/2/17,73,46
1/3/17,48,45
1/4/17,53,43
1/5/17,54,45
1/6/17,57,48
1/7/17,57,50
1/8/17,48,44
1/9/17,68,49
1/10/17,50,43
1/11/17,50,40
1/12/17,46,43
1/1/18,55,50
1/2/18,59,50
1/3/18,54,49
1/4/18,52,46
1/5/18,44,48
1/6/18,48,44
1/7/18,81,60
1/8/18,55,43
1/9/18,39,41
1/10/18,33,43
1/11/18,54,41
1/12/18,53,45
1/1/19,53,46
1/2/19,48,46
1/3/19,40,43
1/4/19,44,42
1/5/19,46,43
1/6/19,42,45
1/7/19,40,45
1/8/19,38,42
1/9/19,32,42
1/10/19,33,40
1/11/19,29,39
1/12/19,28,40
1/1/20,31,45
1/2/20,46,53
1/3/20,41,48
1/4/20,25,27
1/5/20,22,33
1/6/20,29,43
1/7/20,69,51
1/8/20,48,52
1/9/20,41,48
1/10/20,35,51
1/11/20,32,48
1/12/20,34,48
1/1/21,36,53
1/2/21,38,55
1/3/21,35,53
1/4/21,47,52
1/5/21,38,44
1/6/21,40,46
1/7/21,36,48
1/8/21,33,52
1/9/21,34,38
1/10/21,43,40
1/11/21,33,38
1/12/21,34,40
1/1/22,43,43
1/2/22,52,45
1/3/22,53,43
1/4/22,54,44
1/5/22,44,48
1/6/22,55,44
1/7/22,49,45
1/8/22,43,42
1/9/22,42,42
1/10/22,47,40
1/11/22,44,36
1/12/22,40,36
1/1/23,49,39
1/2/23,53,47
1/3/23,41,42
1/4/23,53,46
1/5/23,83,39
1/6/23,51,39
1/7/23,46,42
1/8/23,51,38
1/9/23,52,36
1/10/23,59,36
1/11/23,78,36
1/12/23,61,38
1/1/24,100,49
1/2/24,70,35
1/3/24,63,34
1/4/24,55,35
1/5/24,54,31
1/6/24,55,33
1/7/24,51,32
1/8/24,47,31
1/9/24,46,31
1/10/24,52,27
1/11/24,48,25
1/12/24,49,24
1/1/25,54,25
1/2/25,72,30
1/3/25,55,28
1/4/25,58,27
1/5/25,55,29
1/6/25,58,30
1/7/25,56,28
1/8/25,59,27
1/9/25,66,26
1/10/25,69,25
1/11/25,68,23
1/12/25,58,25
1/1/26,62,27
