,,
Theme: Industry,,
Subject: Transport,,
Topic: Land Transport (including MRT and LRT),,
"Table Title: Motor Vehicle Quota, Quota Premium And Prevailing Quota Premium, Monthly",,
,,
Data last updated: 26/01/2026,,
Source: LAND TRANSPORT AUTHORITY,,
,,
,,
Data Series,"Cars Up To 1600cc And 97kW, Prevailing Quota Premium, 2nd Bidding ","Cars Above 1600cc Or 97kW, Prevailing Quota Premium, 2nd Bidding "
  2026 Jan,107571,120772
  2025 Dec,114004,126131
  2025 Nov,116000,130362
  2025 Oct,113922,130863
  2025 Sep,105939,125165
  2025 Aug,100644,119379
  2025 Jul,100473,117542
  2025 Jun,99643,116909
  2025 May,98328,116945
  2025 Apr,93718,114249
  2025 Mar,92064,114787
  2025 Feb,92525,111807
  2025 Jan,94513,110537
  2024 Dec,97747,109164
  2024 Nov,98582,109880
  2024 Oct,98317,109698
  2024 Sep,94351,104866
  2024 Aug,91697,102639
  2024 Jul,91383,102423
  2024 Jun,91401,102828
  2024 May,89634,101008
  2024 Apr,84550,99116
  2024 Mar,78482,98062
  2024 Feb,79237,106075
  2024 Jan,83385,113742
  2023 Dec,93952,130241
  2023 Nov,99449,136187
  2023 Oct,102584,138094
  2023 Sep,99617,128094
  2023 Aug,97652,122414
  2023 Jul,96569,118357
  2023 Jun,97905,118921
  2023 May,95788,117255
  2023 Apr,92381,115270
  2023 Mar,86677,109948
  2023 Feb,85845,106916
  2023 Jan,86723,108373
  2022 Dec,85988,108106
  2022 Nov,84903,109363
  2022 Oct,83247,107652
  2022 Sep,82465,109643
  2022 Aug,78930,107249
  2022 Jul,74099,102078
  2022 Jun,71565,97176
  2022 May,70109,95025
  2022 Apr,67586,93644
  2022 Mar,63220,88862
  2022 Feb,59179,83464
  2022 Jan,56670,80583
  2021 Dec,54039,79034
  2021 Nov,50570,73954
  2021 Oct,47765,66387
  2021 Sep,46482,60586
  2021 Aug,46704,58124
  2021 Jul,46358,58306
  2021 Jun,46896,57955
  2021 May,45272,53932
  2021 Apr,44138,49716
  2021 Mar,42283,47316
  2021 Feb,41397,47701
  2021 Jan,39844,45586
  2020 Dec,38137,42683
  2020 Nov,37303,40714
  2020 Oct,36475,40014
  2020 Sep,35200,38216
  2020 Aug,33140,34935
  2020 Jul,32190,32914
  2020 Jun,32875,33568
  2020 May,32875,33568
  2020 Apr,32875,33568
  2020 Mar,32875,33568
  2020 Feb,33207,35416
  2020 Jan,33038,38071
  2019 Dec,32368,39463
  2019 Nov,31976,39313
  2019 Oct,32416,39129
  2019 Sep,30574,37502
  2019 Aug,29485,37941
  2019 Jul,29328,39936
  2019 Jun,30512,42885
  2019 May,29839,43007
  2019 Apr,27886,39563
  2019 Mar,26175,35411
  2019 Feb,25525,33018
  2019 Jan,25727,31933
  2018 Dec,26047,31335
  2018 Nov,27571,31553
  2018 Oct,29670,32121
  2018 Sep,30284,32279
  2018 Aug,32339,33377
  2018 Jul,34197,34991
  2018 Jun,37165,36888
  2018 May,38214,37906
  2018 Apr,38192,38712
  2018 Mar,38655,40881
  2018 Feb,39274,44998
  2018 Jan,42122,50578
  2017 Dec,42970,52271
  2017 Nov,42698,51850
  2017 Oct,41994,50168
  2017 Sep,42564,50451
  2017 Aug,44081,50355
  2017 Jul,45400,50972
  2017 Jun,48200,52473
  2017 May,50625,54088
  2017 Apr,50665,52491
  2017 Mar,50230,52008
  2017 Feb,49429,50347
  2017 Jan,50394,52077
  2016 Dec,50645,52660
  2016 Nov,51271,55187
  2016 Oct,51641,56053
  2016 Sep,52108,56751
  2016 Aug,53339,56835
  2016 Jul,51518,54463
  2016 Jun,49519,51630
  2016 May,46454,48479
  2016 Apr,45578,46048
  2016 Mar,46077,47450
  2016 Feb,49541,50932
  2016 Jan,53799,56436
  2015 Dec,56633,58615
  2015 Nov,56832,59798
  2015 Oct,56583,60519
  2015 Sep,56798,61441
  2015 Aug,59216,65508
  2015 Jul,62795,70454
  2015 Jun,66255,75621
  2015 May,66107,74629
  2015 Apr,63444,72136
  2015 Mar,62721,71730
  2015 Feb,63865,73035
  2015 Jan,66130,74058
  2014 Dec,65607,72726
  2014 Nov,64584,72161
  2014 Oct,64171,71811
  2014 Sep,63672,69429
  2014 Aug,63380,67429
  2014 Jul,62610,66834
  2014 Jun,66586,71771
  2014 May,71672,76872
  2014 Apr,75517,79505
  2014 Mar,74838,79203
  2014 Feb,73431,76719
  2014 Jan,73237,78382
  2013 Dec,76109,82333
  2013 Nov,78424,84772
  2013 Oct,79121,83160
  2013 Sep,76654,78508
  2013 Aug,72679,77410
  2013 Jul,68689,73209
  2013 Jun,64762,69128
  2013 May,65044,65001
  2013 Apr,71306,74428
  2013 Mar,81237,84879
  2013 Feb,84822,93497
  2013 Jan,83003,93470
  2012 Dec,75818,89152
  2012 Nov,70916,86650
  2012 Oct,68566,86167
  2012 Sep,66578,87331
  2012 Aug,64413,87283
  2012 Jul,61115,86410
  2012 Jun,60219,86728
  2012 May,59393,85546
  2012 Apr,57596,81348
  2012 Mar,52979,74513
  2012 Feb,51202,71354
  2012 Jan,51380,71731
  2011 Dec,53280,72697
  2011 Nov,52716,70287
  2011 Oct,50585,67299
  2011 Sep,51517,67551
  2011 Aug,52288,68019
  2011 Jul,51234,64003
  2011 Jun,47105,59136
  2011 May,44234,57169
  2011 Apr,42292,57683
  2011 Mar,40925,60368
  2011 Feb,42145,62969
  2011 Jan,40958,59301
  2010 Dec,38714,52550
  2010 Nov,33607,44571
  2010 Oct,31624,43363
  2010 Sep,31643,41929
  2010 Aug,31388,40810
  2010 Jul,30120,38552
  2010 Jun,29843,39670
  2010 May,27781,36764
  2010 Apr,25587,32509
  2010 Mar,21421,25190
  2010 Feb,19331,20926
  2010 Jan,18266,19146
  2009 Dec,17615,18484
  2009 Nov,17108,18850
  2009 Oct,16231,18649
  2009 Sep,15315,18262
  2009 Aug,13812,16202
  2009 Jul,12095,13128
  2009 Jun,9608,9742
  2009 May,7178,6971
  2009 Apr,5028,5112
  2009 Mar,3864,3162
  2009 Feb,4516,3004
  2009 Jan,5346,4273
  2008 Dec,8195,7390
  2008 Nov,9808,10312
  2008 Oct,12364,12577
  2008 Sep,13030,13868
  2008 Aug,13878,14308
  2008 Jul,14032,15345
  2008 Jun,14656,16557
  2008 May,14830,17836
  2008 Apr,14522,17122
  2008 Mar,13442,15833
  2008 Feb,12819,14486
  2008 Jan,13883,15433
  2007 Dec,14441,16335
  2007 Nov,16098,17814
  2007 Oct,15077,17749
  2007 Sep,15310,17801
  2007 Aug,14616,17951
  2007 Jul,15957,18413
  2007 Jun,15591,17725
  2007 May,14646,15969
  2007 Apr,11900,12865
  2007 Mar,11064,11885
  2007 Feb,10347,11739
  2007 Jan,11843,13434
  2006 Dec,11664,13515
  2006 Nov,12381,13819
  2006 Oct,12251,13497
  2006 Sep,12000,12816
  2006 Aug,11067,11833
  2006 Jul,10269,11321
  2006 Jun,10735,12171
  2006 May,11168,12656
  2006 Apr,11216,12101
  2006 Mar,10351,11218
  2006 Feb,10797,10583
  2006 Jan,12183,12193
  2005 Dec,13496,12843
  2005 Nov,14494,14408
  2005 Oct,15145,14832
  2005 Sep,16165,15982
  2005 Aug,16665,15867
  2005 Jul,16947,15937
  2005 Jun,17575,16239
  2005 May,18372,17690
  2005 Apr,18716,17825
  2005 Mar,18970,17774
  2005 Feb,19474,17823
  2005 Jan,20830,19186
  2004 Dec,22311,21270
  2004 Nov,23712,23585
  2004 Oct,24979,25549
  2004 Sep,26313,27213
  2004 Aug,27336,28347
  2004 Jul,27821,28564
  2004 Jun,27732,28569
  2004 May,26467,26912
  2004 Apr,25445,25382
  2004 Mar,24370,23761
  2004 Feb,24222,23036
  2004 Jan,24920,24031
  2003 Dec,26489,25680
  2003 Nov,27653,27620
  2003 Oct,29057,29190
  2003 Sep,30118,30603
  2003 Aug,31385,31430
  2003 Jul,31203,31278
  2003 Jun,29864,29443
  2003 May,28542,27942
  2003 Apr,28644,28670
  2003 Mar,28550,28748
  2003 Feb,28581,28277
  2003 Jan,28101,26829
  2002 Dec,29285,28243
  2002 Nov,29854,29650
  2002 Oct,30430,31021
  2002 Sep,30449,30852
  2002 Aug,31179,31831
  2002 Jul,32316,34183
  2002 Jun,34149,37519
  2002 May,34382,37731
  2002 Apr,32981,34889
  2002 Mar,30559,31785
  2002 Feb,29446,31165
,,
Definitions and Footnotes:,,
"Period refers to month of bidding exercise. February and March 2002 1st bidding refers to closed bidding system, 2nd bidding refers to open bidding system. From April 2002 bidding exercise, the COE Open Bidding System fully replaced the Closed Bidding System. Under the Open Bidding System, two bidding exercises would be held each month on alternate fortnights: i) The first exercise will usually start on the first Monday of the month and end two days later on Wednesday; ii) The second exercise will usually start on the third Monday of the month and end two days later on Wednesday. If a public holiday falls within the three-day bidding exercise, the bidding period would be extended accordingly. Quota premium is the successful bid price paid by all successful bidders. COE bidding exercises were suspended in the months of April, May and June 2020 due to the implementation of elevated safe distancing measures. With the suspension of the COE Bidding exercises during this period, the April 2020 Prevailing Quota Premium (PQP) would also apply in May, June and July 2020.",,
"Cars Up To 1600cc And 97kW, Prevailing Quota Premium, 2nd Bidding (Dollar):",,
"From Feb 2014 bidding exercise onwards, Category A will add a new engine power criterion of up to 97kW to the existing engine capacity threshold of up to 1600cc.  Prior to Aug 2012, taxi operators can bid for a new COE or pay Prevailing Quota Premium (PQP) to register a taxi under Category A.  The latter is only in the case of a new taxi that replaces a deregistered one within 6 months.  From 6 Aug 2012 onwards, all taxis pay for COEs based on the PQP of Category A.  Prevailing Quota Premium (PQP) will only be available after the close of the second open bidding exercise of each month.  It is the moving average of the quota premium over the last 3 months. ",,
"Cars Above 1600cc Or 97kW, Prevailing Quota Premium, 2nd Bidding (Dollar):",,
"From Feb 2014 bidding exercise onwards, Category A will add a new engine power criterion of up to 97kW to the existing engine capacity threshold of up to 1600cc.  Prevailing Quota Premium (PQP) will only be available after the close of the second open bidding exercise of each month.  It is the moving average of the quota premium (QP) in the latest 3 months in which bidding exercises were conducted and varies monthly depending on the QP from those bidding exercises.",,
,,
Notation:,,
na   not available or not applicable,,
nec  not elsewhere classified,,
nes  not elsewhere specified,,
 -     nil or negligible or not significant,,
Notes,,
Numbers may not add up to the totals due to rounding.,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,
Values are shown in Singapore dollars (unless otherwise specified).,,
,,
Generated by: SingStat Table Builder,,
Date generated: 26/02/2026,,
Contact: info@singstat.gov.sg,,
