SORA Value Date,,,SORA Publication Date,Compound SORA - 1 month
2005,Jul,01,04 Jul 2005,-
,,04,05 Jul 2005,-
,,05,06 Jul 2005,-
,,06,07 Jul 2005,-
,,07,08 Jul 2005,-
,,08,11 Jul 2005,-
,,11,12 Jul 2005,-
,,12,13 Jul 2005,-
,,13,14 Jul 2005,-
,,14,15 Jul 2005,-
,,15,18 Jul 2005,-
,,18,19 Jul 2005,-
,,19,20 Jul 2005,-
,,20,21 Jul 2005,-
,,21,22 Jul 2005,-
,,22,25 Jul 2005,-
,,25,26 Jul 2005,-
,,26,27 Jul 2005,-
,,27,28 Jul 2005,-
,,28,29 Jul 2005,-
,,29,01 Aug 2005,-
,Aug,01,02 Aug 2005,-
,,02,03 Aug 2005,-
,,03,04 Aug 2005,1.7611
,,04,05 Aug 2005,1.7618
,,05,08 Aug 2005,1.7597
,,08,10 Aug 2005,1.7580
,,10,11 Aug 2005,1.7577
,,11,12 Aug 2005,1.7571
,,12,15 Aug 2005,1.7592
,,15,16 Aug 2005,1.7595
,,16,17 Aug 2005,1.7597
,,17,18 Aug 2005,1.7581
,,18,19 Aug 2005,1.7577
,,19,22 Aug 2005,1.7557
,,22,23 Aug 2005,1.7555
,,23,24 Aug 2005,1.7594
,,24,25 Aug 2005,1.7638
,,25,26 Aug 2005,1.7629
,,26,29 Aug 2005,1.7626
,,29,30 Aug 2005,1.7643
,,30,31 Aug 2005,1.7693
,,31,01 Sep 2005,1.7758
,Sep,01,02 Sep 2005,1.7822
,,02,05 Sep 2005,1.8005
,,05,06 Sep 2005,1.8063
,,06,07 Sep 2005,1.8147
,,07,08 Sep 2005,1.8247
,,08,09 Sep 2005,1.8297
,,09,12 Sep 2005,1.8486
,,12,13 Sep 2005,1.8572
,,13,14 Sep 2005,1.8690
,,14,15 Sep 2005,1.8807
,,15,16 Sep 2005,1.8956
,,16,19 Sep 2005,1.9441
,,19,20 Sep 2005,1.9560
,,20,21 Sep 2005,1.9697
,,21,22 Sep 2005,1.9854
,,22,23 Sep 2005,2.0015
,,23,26 Sep 2005,2.0485
,,26,27 Sep 2005,2.0655
,,27,28 Sep 2005,2.0826
,,28,29 Sep 2005,2.0982
,,29,30 Sep 2005,2.1118
