,,,,,,,,
Theme: Industry,,,,,,,,
Subject: Transport,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,
"Table Title: Motor Vehicle Population Under Vehicle Quota System, (As At End Of Period), Monthly",,,,,,,,
,,,,,,,,
Data last updated: 26/01/2026,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,
,,,,,,,,
Data Series,Total Motor Vehicles (Number),Total Motor Vehicles -> Category A: Cars (Number),Total Motor Vehicles -> Category B: Cars (Number),Total Motor Vehicles -> Weekend Cars/Off Peak Cars (Number),Total Motor Vehicles -> Category C: Goods Vehicles & Buses (Number),Total Motor Vehicles -> Category D: Motorcycles & Scooters (Number),Total Motor Vehicles -> Taxis (Number),Total Motor Vehicles -> Vehicles Exempted From VQS (Number)
  2025 Dec,1012023,322377,337060,na,152383,151571,12161,36471
  2025 Nov,1010370,321636,336172,na,152572,151195,12234,36561
  2025 Oct,1009811,321522,336111,na,152555,150712,12216,36695
  2025 Sep,1010363,322084,336292,na,152649,150415,12213,36710
  2025 Aug,1010085,322505,336121,na,152841,149821,12189,36608
  2025 Jul,1010286,322639,336272,na,153046,149492,12261,36576
  2025 Jun,1009499,322188,336181,na,153027,149236,12346,36521
  2025 May,1008989,321905,336121,na,153099,148914,12465,36485
  2025 Apr,1008319,321792,335848,na,153118,148444,12662,36455
  2025 Mar,1008318,321650,335894,na,153285,148257,12846,36386
  2025 Feb,1007429,321616,335423,na,153096,147986,12941,36367
  2025 Jan,1006283,320891,335477,na,152987,147551,13000,36377
  2024 Dec,1007094,321611,335675,na,153040,147349,13117,36302
  2024 Nov,1004411,320656,334866,na,152954,146775,13087,36073
  2024 Oct,1003130,320148,334612,na,152875,146308,13218,35969
  2024 Sep,1003126,320115,334638,na,153029,146027,13389,35928
  2024 Aug,1001755,319824,334038,na,152905,145765,13352,35871
  2024 Jul,1000576,319508,333430,na,152968,145572,13343,35755
  2024 Jun,998869,318510,332843,na,153185,145185,13436,35710
  2024 May,996465,317586,331962,na,153184,144704,13330,35699
  2024 Apr,995746,317617,331539,na,153158,144274,13396,35762
  2024 Mar,995409,318176,331109,na,153262,143811,13376,35675
  2024 Feb,995193,318712,330760,na,153265,143430,13436,35590
  2024 Jan,995796,319029,330845,na,153412,143477,13485,35548
  2023 Dec,996732,319837,331007,na,153419,143441,13620,35408
  2023 Nov,994411,319183,329927,na,153298,143027,13622,35354
  2023 Oct,994519,319442,329884,na,153316,142880,13709,35288
  2023 Sep,994564,319715,329854,na,153335,142676,13725,35259
  2023 Aug,994663,319933,329816,na,153428,142533,13714,35239
  2023 Jul,994736,320241,329625,na,153540,142420,13771,35139
  2023 Jun,994884,320396,329497,na,153790,142308,13861,35032
  2023 May,994885,320546,329443,na,153957,142002,13997,34940
  2023 Apr,995497,321357,329366,na,154196,141668,14075,34835
  2023 Mar,996034,321740,329291,na,154378,141821,13930,34874
  2023 Feb,996531,322016,329100,na,154434,142204,13955,34822
  2023 Jan,995905,321859,328710,na,154376,142194,14016,34750
  2022 Dec,995746,321840,328368,na,154376,142404,14084,34674
  2022 Nov,994820,321620,327838,na,154267,142361,14146,34588
  2022 Oct,994790,321944,327663,na,154176,142346,14176,34485
  2022 Sep,994021,321953,327146,na,154112,142240,14224,34346
  2022 Aug,993351,321952,326749,na,153987,142137,14313,34213
  2022 Jul,992414,321780,326481,na,153881,141868,14316,34088
  2022 Jun,991464,321493,326123,na,153871,141643,14359,33975
  2022 May,989995,321176,325164,na,153820,141384,14495,33956
  2022 Apr,988720,320818,324481,na,153806,141123,14604,33888
  2022 Mar,988194,320807,324111,na,153782,141048,14603,33843
  2022 Feb,988949,321375,323943,na,153787,141316,14717,33811
  2022 Jan,989040,321432,323620,na,153844,141492,14847,33805
  2021 Dec,988755,321500,323174,na,153841,141533,14887,33820
  2021 Nov,987965,321406,322645,na,153710,141467,15048,33689
  2021 Oct,987450,321252,322216,na,153616,141390,15380,33596
  2021 Sep,986873,321025,322072,na,153492,141358,15434,33492
  2021 Aug,984972,320580,320909,na,153361,141258,15472,33392
  2021 Jul,983843,320585,320004,na,153263,141190,15497,33304
  2021 Jun,982459,320236,319527,na,153112,140862,15536,33186
  2021 May,981549,320168,318723,na,153040,140866,15661,33091
  2021 Apr,981553,320521,318281,na,153043,140831,15799,33078
  2021 Mar,980293,320445,317580,na,152870,140635,15738,33025
  2021 Feb,978479,320475,316690,na,151891,140639,15865,32919
  2021 Jan,977157,320206,315789,na,151660,140684,15888,32930
  2020 Dec,973990,319137,314417,na,151139,140720,15678,32899
  2020 Nov,972859,319271,313393,na,150860,140650,15772,32913
  2020 Oct,971021,318958,312135,na,150685,140375,16012,32856
  2020 Sep,969189,318385,311144,na,150497,140251,16110,32802
  2020 Aug,967575,317944,310271,na,150208,140096,16264,32792
  2020 Jul,965705,317417,309164,na,150212,140030,16086,32796
  2020 Jun,964299,317205,308014,na,150242,139837,16277,32724
  2020 May,967322,318512,309001,na,150599,140157,16378,32675
  2020 Apr,970431,319683,309819,na,150774,140094,17414,32647
  2020 Mar,973761,321127,310794,na,151193,140078,17977,32592
  2020 Feb,974205,321274,310341,na,151607,139998,18425,32560
  2020 Jan,973534,321024,309741,na,151788,140030,18528,32423
  2019 Dec,973101,321103,308991,na,151753,140329,18542,32383
  2019 Nov,972224,321092,308711,na,151783,139551,18788,32299
  2019 Oct,971244,320788,308215,na,151807,139253,18890,32291
  2019 Sep,970344,320778,307530,na,151813,139179,18772,32272
  2019 Aug,968959,320357,306629,na,151708,139027,18989,32249
  2019 Jul,967768,320143,306047,na,151573,138741,19070,32194
  2019 Jun,965547,318935,305230,na,151530,138202,19478,32172
  2019 May,963335,317748,304531,na,151465,137681,19751,32159
  2019 Apr,961606,316497,304058,na,151583,137414,19927,32127
  2019 Mar,959864,315301,303532,na,151596,137338,20061,32036
  2019 Feb,959584,315205,302781,na,152098,137245,20256,31999
  2019 Jan,959468,315367,302347,na,152236,137165,20375,31978
  2018 Dec,957006,314694,300743,na,152129,136906,20581,31953
  2018 Nov,956428,315229,299690,na,152030,136720,20885,31874
  2018 Oct,956106,315863,298855,na,152053,136439,21073,31823
  2018 Sep,955956,316501,297770,na,151974,136647,21279,31785
  2018 Aug,956287,317500,297046,na,151926,136714,21366,31735
  2018 Jul,957297,318780,296587,na,152036,137064,21176,31654
  2018 Jun,959938,320934,296296,na,152221,137506,21164,31817
  2018 May,956839,318830,294525,na,152222,138241,21237,31784
  2018 Apr,957246,318594,293875,na,152344,139252,21436,31745
  2018 Mar,957562,318856,293043,na,152477,139739,21746,31701
  2018 Feb,958540,318492,292773,na,152883,140323,22440,31629
  2018 Jan,959227,318282,292470,na,153145,140836,22891,31603
  2017 Dec,961842,318536,293669,na,153583,141368,23140,31546
  2017 Nov,956961,317607,291182,na,152223,141173,23439,31337
  2017 Oct,955542,317224,290208,na,151728,141163,23944,31275
  2017 Sep,955156,317362,289533,na,151269,141347,24468,31177
  2017 Aug,955554,318082,289426,na,150675,141377,24863,31131
  2017 Jul,954209,318056,288401,na,149765,141597,25325,31065
  2017 Jun,953097,318144,287549,na,149087,141567,25699,31051
  2017 May,951149,317841,286307,na,148300,141654,26172,30875
  2017 Apr,949364,317442,285336,na,147572,141757,26476,30781
  2017 Mar,950582,317684,284807,na,148417,142151,26734,30789
  2017 Feb,955270,317446,283987,na,153723,142361,26986,30767
  2017 Jan,955888,317387,284056,na,154207,142311,27202,30725
  2016 Dec,956430,318081,283137,na,154507,142514,27534,30657
  2016 Nov,956921,318859,282950,na,154527,142492,27495,30598
  2016 Oct,957030,319648,282260,na,154440,142627,27532,30523
  2016 Sep,956719,319876,281624,na,154305,142789,27708,30417
  2016 Aug,955550,319188,280950,na,154477,142783,27890,30262
  2016 Jul,954919,318986,280727,na,154462,142671,28054,30019
  2016 Jun,954717,319371,280335,na,154314,142651,28193,29853
  2016 May,953110,318588,279793,na,154085,142700,28211,29733
  2016 Apr,951865,318171,279455,na,153513,142792,28280,29654
  2016 Mar,952731,318749,279286,na,154105,142758,28286,29547
  2016 Feb,955866,320562,280221,na,154374,143094,28212,29403
  2016 Jan,956966,321428,280312,na,154367,143303,28258,29298
  2015 Dec,957246,321972,280261,na,154229,143343,28259,29182
  2015 Nov,957931,322876,280256,na,153977,143373,28402,29047
  2015 Oct,958651,323528,280293,na,153917,143452,28558,28903
  2015 Sep,959314,324357,280394,na,153792,143550,28479,28742
  2015 Aug,960196,325302,280265,na,153793,143618,28572,28646
  2015 Jul,960873,326108,279963,na,154026,143675,28557,28544
  2015 Jun,963759,328129,280955,na,153790,143774,28686,28425
  2015 May,962756,328037,280183,na,153543,143874,28792,28327
  2015 Apr,963711,329163,280304,na,153377,144069,28606,28192
  2015 Mar,965910,330915,280617,na,153434,144179,28672,28093
  2015 Feb,969019,332987,281075,na,154160,144316,28537,27944
  2015 Jan,970052,333823,280960,na,154428,144444,28515,27882
  2014 Dec,972037,335450,281083,na,154524,144467,28736,27777
  2014 Nov,972551,336231,281213,na,154627,144332,28512,27636
  2014 Oct,972840,337030,281022,na,154557,144386,28329,27516
  2014 Sep,973004,337849,280968,na,154187,144486,28119,27395
  2014 Aug,972438,338468,280602,na,153830,144248,27970,27320
  2014 Jul,972079,338802,280349,na,153602,144232,27937,27157
  2014 Jun,971871,339372,280254,na,153116,144254,27865,27010
  2014 May,971285,339700,279944,na,152779,144278,27709,26875
  2014 Apr,971305,340066,279823,na,152579,144327,27754,26756
  2014 Mar,972527,340645,279927,na,153131,144493,27700,26631
  2014 Feb,974095,341169,280081,na,153906,144692,27698,26549
  2014 Jan,974495,341519,279902,na,154144,144631,27779,26520
  2013 Dec,974170,341686,279605,na,154423,144374,27695,26387
  2013 Nov,972740,341757,279086,na,154197,143969,27492,26239
  2013 Oct,972676,341869,278838,na,154408,143880,27516,26165
  2013 Sep,972153,342017,278601,na,154485,143550,27475,26025
  2013 Aug,971189,341798,278229,na,154494,143255,27471,25942
  2013 Jul,970640,341766,277792,na,154449,143051,27707,25875
  2013 Jun,970136,341774,277595,na,154511,142742,27781,25733
  2013 May,969472,341620,277107,na,154607,142742,27719,25677
  2013 Apr,969171,341611,276856,na,154577,142563,27911,25653
  2013 Mar,969728,341880,276732,na,154633,142853,28075,25555
  2013 Feb,970117,342025,276479,na,154880,143025,28245,25463
  2013 Jan,970300,342088,276335,na,155151,143111,28297,25318
  2012 Dec,969910,341824,275732,na,155374,143354,28210,25416
  2012 Nov,969260,341631,274999,na,155474,143528,28187,25441
  2012 Oct,968636,341122,274444,na,155557,143781,28243,25489
  2012 Sep,968142,340724,273792,na,155723,144115,28364,25424
  2012 Aug,967171,340228,273070,na,155813,144579,28176,25305
  2012 Jul,966531,339853,272633,na,155916,144791,28101,25237
  2012 Jun,965192,339483,271839,na,155891,145004,27849,25126
  2012 May,963621,338822,271004,na,155911,145148,27733,25003
  2012 Apr,962430,338458,270298,na,155928,145210,27618,24918
  2012 Mar,961160,338060,269721,na,155804,145510,27266,24799
  2012 Feb,959699,337550,268902,na,155734,145578,27163,24772
  2012 Jan,957863,336938,268043,na,155546,145573,27059,24704
  2011 Dec,956704,336515,267221,na,155479,145741,27051,24697
  2011 Nov,955183,336120,266337,na,155226,145809,27018,24673
  2011 Oct,953819,335731,265496,na,154958,146049,26970,24615
  2011 Sep,952009,335420,264556,na,154567,146107,26845,24514
  2011 Aug,950198,334815,263676,na,154225,146300,26756,24426
  2011 Jul,952221,337670,263082,na,153926,146376,26760,24407
  2011 Jun,951307,338067,262135,na,153533,146486,26758,24328
  2011 May,949805,338273,260912,na,153204,146601,26650,24165
  2011 Apr,949394,338925,259894,na,153041,146911,26535,24088
  2011 Mar,947962,338994,258861,na,152862,147122,26111,24012
  2011 Feb,947770,339022,258128,na,153216,147278,26195,23931
  2011 Jan,947498,338980,257493,na,153324,147405,26386,23910
  2010 Dec,945829,338545,256655,na,153340,147345,26073,23871
  2010 Nov,944117,338509,255252,na,153328,147297,25883,23848
  2010 Oct,942861,338294,254384,na,153342,147306,25677,23858
  2010 Sep,941642,338144,253446,na,153391,147256,25624,23781
  2010 Aug,940120,337899,252371,na,153478,147171,25537,23664
  2010 Jul,938922,337608,251533,na,153672,147089,25409,23611
  2010 Jun,937860,337298,250557,na,154134,146981,25361,23529
  2010 May,936311,336990,249463,na,154252,146902,25176,23528
  2010 Apr,935024,336636,248546,na,154365,146921,25185,23371
  2010 Mar,933225,336045,247576,na,154407,146883,25024,23290
