,,,,,,,,,,
Theme: Industry,,,,,,,,,,
Subject: Transport,,,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,,,
"Table Title: New Registration Of Motor Vehicles Under Vehicle Quota System , Monthly",,,,,,,,,,
,,,,,,,,,,
Data last updated: 26/01/2026,,,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,,,
,,,,,,,,,,
Data Series,Total New Motor Vehicles Registered (Number),Total New Motor Vehicles Registered -> Category A: Cars (Number),Total New Motor Vehicles Registered -> Category B: Cars (Number),Total New Motor Vehicles Registered -> Weekend Cars/Off Peak Cars (Number),Total New Motor Vehicles Registered -> Category C: Goods Vehicles & Buses (Number),Total New Motor Vehicles Registered -> Category C: Goods Vehicles & Buses -> Category C: Goods Vehicles & Buses Not Under ETS (Number),Total New Motor Vehicles Registered -> Category C: Goods Vehicles & Buses -> Category C: Goods Vehicles & Buses Under ETS (Number),Total New Motor Vehicles Registered -> Category D: Motorcycles & Scooters (Number),Total New Motor Vehicles Registered -> Taxis (Number),Total New Motor Vehicles Registered -> Vehicles Exempted From VQS (Number)
  2025 Dec,8513,3418,2915,na,808,551,257,1126,91,155
  2025 Nov,6304,2425,1938,na,624,499,125,1030,112,175
  2025 Oct,5763,2110,1830,na,665,505,160,938,63,157
  2025 Sep,6886,2522,2145,na,721,555,166,1226,86,186
  2025 Aug,6468,2757,1872,na,672,493,179,990,17,160
  2025 Jul,6564,2642,1961,na,715,582,133,1024,41,181
  2025 Jun,6445,2571,2029,na,604,529,75,1074,26,141
  2025 May,6298,2225,2208,na,537,441,96,1164,25,139
  2025 Apr,5499,2106,1828,na,485,362,123,889,41,150
  2025 Mar,6814,2104,2217,na,1309,835,474,1029,61,94
  2025 Feb,5856,2429,1442,na,652,504,148,1135,92,106
  2025 Jan,4267,1352,1335,na,464,325,139,912,35,169
  2024 Dec,7561,2928,2350,na,600,427,173,1224,160,299
  2024 Nov,5338,1929,1645,na,557,420,137,998,42,167
  2024 Oct,5153,1939,1455,na,662,392,270,990,0,107
  2024 Sep,6132,2178,1927,na,721,450,271,965,221,120
  2024 Aug,5803,2092,1829,na,640,447,193,940,117,185
  2024 Jul,5935,2219,1679,na,710,459,251,1158,50,119
  2024 Jun,5616,1983,1776,na,478,320,158,1026,252,101
  2024 May,4875,1726,1450,na,503,347,156,1028,85,83
  2024 Apr,5251,1947,1482,na,482,296,186,1025,193,122
  2024 Mar,5812,1884,1595,na,946,594,352,1075,173,139
  2024 Feb,3825,1355,1027,na,409,308,101,916,22,96
  2024 Jan,3927,1110,1074,na,495,388,107,1055,0,193
  2023 Dec,6766,2593,2125,na,535,394,141,1251,142,120
  2023 Nov,3892,1395,1084,na,354,218,136,892,41,126
  2023 Oct,4124,1269,1053,na,467,190,277,1077,164,94
  2023 Sep,4026,1292,1077,na,426,188,238,937,170,124
  2023 Aug,4212,1177,1318,na,441,191,250,1027,85,164
  2023 Jul,3949,1155,1193,na,357,122,235,1066,0,178
  2023 Jun,3873,1103,1182,na,311,125,186,1106,0,171
  2023 May,3883,924,1252,na,212,145,67,1291,51,153
  2023 Apr,3360,1078,1077,na,136,45,91,754,201,114
  2023 Mar,5513,1093,1311,na,1648,166,1482,1074,77,310
  2023 Feb,4148,1005,1101,na,861,124,737,1005,32,144
  2023 Jan,3135,827,1041,na,411,118,293,731,5,120
  2022 Dec,4398,1077,1272,na,809,183,626,967,30,243
  2022 Nov,4371,1100,1165,na,1000,164,836,930,23,153
  2022 Oct,4209,1019,1296,na,770,152,618,903,0,221
  2022 Sep,4372,1011,1303,na,953,171,782,910,2,193
  2022 Aug,4600,1133,1174,na,811,188,623,1108,116,258
  2022 Jul,4512,1240,1246,na,683,217,466,1059,80,204
  2022 Jun,5368,1406,1808,na,732,213,519,1213,21,188
  2022 May,4776,1313,1604,na,652,135,517,1044,25,138
  2022 Apr,4657,1139,1347,na,940,162,778,1019,117,95
  2022 Mar,4863,1073,1531,na,1000,210,790,1083,77,99
  2022 Feb,3743,985,1270,na,562,120,442,830,15,81
  2022 Jan,4697,1315,1645,na,666,186,480,950,0,121
  2021 Dec,4955,1191,1696,na,824,249,575,955,115,174
  2021 Nov,4733,1352,1594,na,698,246,452,849,118,122
  2021 Oct,4696,1470,1472,na,762,254,508,794,65,133
  2021 Sep,5821,1484,2403,na,794,233,561,900,110,130
  2021 Aug,5395,1251,2241,na,713,249,464,981,93,116
  2021 Jul,5509,1598,1809,na,837,393,444,1078,40,147
  2021 Jun,6254,1932,2484,na,812,301,511,868,21,137
  2021 May,5453,1519,2240,na,635,241,394,945,32,82
  2021 Apr,6186,1683,2348,na,836,360,476,1072,105,142
  2021 Mar,7869,1888,2694,na,1914,1340,574,1146,55,172
  2021 Feb,5637,1537,2099,na,936,328,608,867,116,82
  2021 Jan,7873,2452,2799,na,1181,657,524,973,318,150
  2020 Dec,6152,1291,2614,na,978,689,289,1077,114,78
  2020 Nov,6810,1819,2840,na,858,534,324,968,207,118
  2020 Oct,6859,2091,2650,na,993,497,496,833,183,109
  2020 Sep,6878,1978,2578,na,1219,777,442,865,162,76
  2020 Aug,7487,2277,2897,na,1091,725,366,907,214,101
  2020 Jul,6785,1909,2912,na,884,572,312,950,17,113
  2020 Jun,2072,449,612,na,496,249,247,415,20,80
  2020 May,653,13,34,na,126,96,30,431,0,49
  2020 Apr,1646,263,419,na,244,151,93,598,34,88
  2020 Mar,7532,2250,2732,na,993,690,303,1371,82,104
  2020 Feb,6911,2028,2630,na,733,496,237,1150,167,203
  2020 Jan,7182,2160,2861,na,822,625,197,979,149,211
  2019 Dec,8046,2156,2550,na,845,626,219,1788,576,131
  2019 Nov,8023,2447,2622,na,1006,673,333,1473,390,85
  2019 Oct,7977,2202,2812,na,1048,632,416,1332,503,80
  2019 Sep,8179,2567,3004,na,1092,742,350,1371,57,88
  2019 Aug,8135,2390,2705,na,1064,702,362,1628,253,95
  2019 Jul,10553,3658,3327,na,1207,853,354,1986,294,81
  2019 Jun,9143,3188,2961,na,1085,644,441,1642,200,67
  2019 May,9576,3567,2738,na,1137,468,669,1685,360,89
  2019 Apr,10378,3920,2938,na,1510,601,909,1513,353,144
  2019 Mar,10709,3573,3642,na,1404,708,696,1725,220,145
  2019 Feb,7284,2408,2594,na,799,504,295,1305,107,71
  2019 Jan,11782,4111,4138,na,1268,744,524,1908,236,121
  2018 Dec,9922,2930,3714,na,1021,649,372,1676,349,232
  2018 Nov,9923,3238,3523,na,1167,556,611,1585,259,151
  2018 Oct,9876,3018,3719,na,1539,871,668,1322,169,109
  2018 Sep,8843,2887,3280,na,1154,757,397,1308,115,99
  2018 Aug,8533,2721,3208,na,1114,564,550,1062,285,143
  2018 Jul,7755,2059,3207,na,1126,521,605,1099,130,134
  2018 Jun,12684,5927,4528,na,1218,803,415,872,33,106
  2018 May,9467,3889,3523,na,1102,555,547,861,4,88
  2018 Apr,8922,3342,3615,na,1113,527,586,750,0,102
  2018 Mar,8579,3674,3313,na,890,386,504,604,0,98
  2018 Feb,6076,2668,2541,na,397,172,225,394,0,76
  2018 Jan,6716,3524,2045,na,522,178,344,520,0,105
  2017 Dec,14327,4369,5748,na,2225,1937,288,1113,568,304
  2017 Nov,10454,3754,3913,na,1582,945,637,794,286,125
  2017 Oct,9797,3416,3730,na,1489,972,517,752,263,147
  2017 Sep,8780,2775,3126,na,1601,1150,451,884,270,124
  2017 Aug,11236,3746,3970,na,2265,1134,1131,824,272,159
  2017 Jul,10955,3674,3847,na,2123,1387,736,878,278,155
  2017 Jun,11209,4189,4055,na,1766,1536,230,829,185,185
  2017 May,11288,4473,3933,na,1807,1683,124,775,170,130
  2017 Apr,8550,3672,3114,na,1060,281,779,575,24,105
  2017 Mar,11403,4666,3927,na,1734,389,1345,813,81,182
  2017 Feb,8251,3647,2501,na,1164,338,826,760,59,120
  2017 Jan,9538,3695,3835,na,945,303,642,643,314,106
  2016 Dec,9229,3735,3040,na,1199,417,782,709,401,145
  2016 Nov,9726,3674,3805,na,1215,425,790,626,266,140
  2016 Oct,9751,4247,3511,na,1079,296,783,580,166,168
  2016 Sep,10536,4486,3430,na,1330,328,1002,757,319,214
  2016 Aug,9926,4229,2889,na,1419,354,1065,824,264,301
  2016 Jul,9736,3859,3044,na,1519,408,1111,750,344,220
  2016 Jun,10941,4847,3254,na,1463,494,969,745,371,261
  2016 May,11004,4910,3295,na,1573,426,1147,689,389,148
  2016 Apr,10280,3997,3180,na,1749,351,1398,722,463,169
  2016 Mar,10445,4124,2955,na,1949,521,1428,672,490,255
  2016 Feb,7579,3239,2488,na,1013,326,687,595,75,169
  2016 Jan,9638,3953,3111,na,1457,440,1017,667,246,204
  2015 Dec,9347,3676,2688,na,1736,480,1256,727,303,217
  2015 Nov,8783,3564,2597,na,1499,437,1062,578,342,203
  2015 Oct,9229,3667,2428,na,1783,493,1290,676,482,193
  2015 Sep,8221,2811,2437,na,1859,454,1405,623,316,175
  2015 Aug,7681,2446,2241,na,1978,426,1552,589,246,181
  2015 Jul,5090,1777,1390,na,933,616,317,636,181,173
  2015 Jun,8934,3853,3134,na,876,619,257,638,251,182
  2015 May,6734,2501,2070,na,742,503,239,562,629,230
  2015 Apr,6008,1866,1976,na,972,341,631,653,344,197
  2015 Mar,6339,1958,1958,na,1070,491,579,622,499,232
  2015 Feb,4304,1306,1589,na,493,271,222,485,226,205
  2015 Jan,5398,1547,1972,na,738,442,296,670,241,230
  2014 Dec,5253,1482,1589,na,734,326,408,688,454,306
  2014 Nov,5090,1269,1640,na,1152,424,728,538,267,224
  2014 Oct,5324,1261,1487,na,1548,706,842,531,245,252
  2014 Sep,5708,1256,1678,na,1199,664,535,862,512,201
  2014 Aug,5251,1081,1477,na,1390,572,818,689,350,264
  2014 Jul,5042,937,1312,na,1437,733,704,711,369,276
  2014 Jun,4719,963,1437,na,1053,640,413,619,434,213
  2014 May,3856,905,1222,na,790,541,249,588,169,182
  2014 Apr,3636,768,964,na,715,465,250,576,412,201
  2014 Mar,4237,806,1154,na,925,563,362,597,548,207
  2014 Feb,3517,754,1105,na,594,355,239,729,205,130
  2014 Jan,3955,844,1224,na,432,309,123,1017,227,211
  2013 Dec,4737,733,1295,na,931,823,108,1079,432,267
  2013 Nov,3436,647,960,na,483,405,78,937,219,190
  2013 Oct,3911,650,956,na,569,434,135,953,541,242
  2013 Sep,3792,938,1011,na,506,438,68,974,214,149
  2013 Aug,3524,675,1032,na,504,451,53,936,181,196
  2013 Jul,4016,714,929,na,587,552,35,1128,395,263
  2013 Jun,4352,867,1270,na,563,552,11,872,592,188
  2013 May,3990,980,1160,na,490,487,3,1028,143,189
  2013 Apr,3599,764,1131,na,482,482,na,976,59,187
  2013 Mar,3392,719,982,na,396,396,na,1030,55,210
  2013 Feb,2739,538,795,na,223,223,na,792,215,176
  2013 Jan,4273,966,1296,na,422,422,na,945,444,200
  2012 Dec,3803,793,1337,na,375,375,na,830,262,206
  2012 Nov,3695,1055,1170,na,377,377,na,778,123,192
  2012 Oct,3704,967,1276,na,365,365,na,809,127,160
  2012 Sep,3939,975,1232,na,335,335,na,818,381,198
  2012 Aug,3641,906,991,na,345,345,na,852,379,168
  2012 Jul,4305,941,1336,na,409,409,na,928,510,181
  2012 Jun,4093,1174,1346,na,282,282,na,795,254,242
  2012 May,3947,955,1299,na,299,299,na,802,390,202
  2012 Apr,4233,976,1242,na,416,416,na,820,567,212
  2012 Mar,4371,1114,1533,na,407,407,na,853,297,167
  2012 Feb,4338,1154,1448,na,416,416,na,927,225,168
  2012 Jan,3486,861,1324,na,315,315,na,711,183,92
  2011 Dec,3852,818,1439,na,493,493,na,736,155,211
  2011 Nov,3689,869,1417,na,506,506,na,644,84,169
  2011 Oct,3774,756,1416,na,570,570,na,684,168,180
  2011 Sep,3882,968,1335,na,560,560,na,737,132,150
  2011 Aug,3480,925,1092,na,518,518,na,688,110,147
  2011 Jul,4224,989,1478,na,600,600,na,674,332,151
  2011 Jun,4776,1055,1762,na,527,527,na,657,535,240
  2011 May,4077,775,1556,na,437,437,na,637,531,141
  2011 Apr,4352,897,1585,na,498,498,na,571,636,165
  2011 Mar,4309,1019,1542,na,611,611,na,658,275,204
  2011 Feb,2848,603,1071,na,325,325,na,537,240,72
  2011 Jan,4592,1142,1402,na,432,432,na,823,661,132
  2010 Dec,4570,864,2020,na,470,470,na,694,379,143
  2010 Nov,4185,1044,1613,na,381,381,na,605,467,75
